"code"	"institution_key"	"institution_name"	"class"	"type"	"city"	"state"	"uva_peer"
"RPI"	"RENSSELAER POLYTECHNIC INSTITUTE"	"Rensselaer Polytechnic Institute"	"R2"	"Private (Non-profit)"	"Troy"	"NY"	NULL
"Rice"	"RICE UNIVERSITY"	"Rice University"	"R1"	"Private (Non-profit)"	"Houston"	"TX"	NULL
"RMU"	"ROBERT MORRIS UNIVERSITY"	"Robert Morris University"	"R3"	"Private (Non-profit)"	"Moon Township"	"PA"	NULL
"RIT"	"ROCHESTER INSTITUTE OF TECHNOLOGY"	"Rochester Institute of Technology"	"R3"	"Private (Non-profit)"	"Rochester"	"NY"	NULL
"Rockefeller"	"ROCKEFELLER UNIVERSITY"	"Rockefeller University"	"R2"	"Private (Non-profit)"	"New York"	"NY"	NULL
"Rockhurst"	"ROCKHURST UNIVERSITY"	"Rockhurst University"	"NA"	"NA"	"NA"	"NA"	NULL
"Rowan"	"ROWAN UNIVERSITY"	"Rowan University"	"NA"	"NA"	"NA"	"NA"	NULL
"Rutgers"	"RUTGERS UNIVERSITY NEW BRUNSWICK"	"Rutgers University-New Brunswick"	"R1"	"Public"	"New Brunswick"	"NJ"	NULL
"Rutger New"	"RUTGERS UNIVERSITY NEWARK"	"Rutgers University-Newark"	"R2"	"Public"	"Newark"	"NJ"	NULL
"SJFC"	"SAINT JOHN FISHER COLLEGE"	"Saint John Fisher College"	"R3"	"Private (Non-profit)"	"Rochester"	"NY"	NULL
"SJU"	"SAINT JOSEPHS UNIVERSITY"	"Saint Joseph's University"	"NA"	"NA"	"NA"	"NA"	NULL
"SLU"	"SAINT LOUIS UNIVERSITY"	"Saint Louis University"	"R2"	"Private (Non-profit)"	"Saint Louis"	"MO"	NULL
"St Marys"	"SAINT MARYS COLLEGE"	"Saint Mary's College"	NULL	NULL	"Notre Dame"	"IN"	NULL
"St Marys Cal"	"SAINT MARYS COLLEGE OF CALIFORNIA"	"Saint Mary's College of California"	NULL	NULL		"CA"	NULL
"St Peters"	"SAINT PETERS UNIVERSITY"	"Saint Peter's University"	"NA"	"NA"	"NA"	"NA"	NULL
"St Xavier"	"SAINT XAVIER UNIVERSITY"	"Saint Xavier University"	NULL	NULL	NULL	NULL	NULL
